season,teams,rounds,scoring_type,slots_qb,slots_rb,slots_wr,slots_te,slots_flex,slots_k,slots_def,slots_bn,fold,strategy,feature,coefficient
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,adp_only,market_rank,11.94209351773182
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,position_baseline,market_rank,11.957890454601683
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,position_baseline,QB,-0.11126047666853524
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,position_baseline,RB,0.07446232482551218
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,position_baseline,WR,0.08189703007502355
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,position_baseline,TE,-0.045098878232484534
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,position_baseline,K,0.0
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,roster_aware,market_rank,11.903238193303341
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,roster_aware,starter_need,0.9699391288433935
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,roster_aware,roster_count,2.364289628877802
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,roster_aware,starter_need_late,0.20720045049641775
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,roster_aware,QB,-0.3915547692030539
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,roster_aware,RB,0.3974908296775092
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,roster_aware,WR,0.35168552238760514
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,roster_aware,TE,-0.3576215828607985
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,roster_aware,K,0.0
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,run_aware,market_rank,12.010652990621725
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,run_aware,recent_position_run,0.763802482489948
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,run_aware,QB,-0.007110472973292247
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,run_aware,RB,-0.02314601001434819
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,run_aware,WR,-0.04332099622797368
